Airport,LatLong
K9MN,44.0206 -92.4829
KDDC,37.7608 -99.9683
KVQQ,30.2129 -81.8707
KDDH,42.8935 -73.2486
KOTM,41.1008 -92.4445
KOTH,43.4195 -124.2437
KOTG,43.6551 -95.5792
KBXK,33.4204 -112.6862
K3LF,39.1605 -89.6742
KU31,39.5000 -117.0833
KNHK,38.2860 -76.4118
KS14,44.3500 -112.1833
KNHZ,43.8922 -69.9386
KPAH,37.0564 -88.7739
KFPK,42.5764 -84.8124
KADM,34.3007 -97.0089
KGWW,35.4606 -77.9649
KSDY,47.7069 -104.1926
K5H4,47.7912 -99.9317
KLLJ,44.5230 -114.2161
KSDB,34.7434 -118.7253
KSDA,40.7533 -95.4112
KLLQ,33.6360 -91.7555
KFPR,27.4981 -80.3767
KD55,48.7531 -98.3937
KADU,41.7014 -94.9205
KSDL,33.6123 -111.9232
KSDM,32.5723 -116.9802
KMRF,30.3707 -104.0118
KMRB,39.4037 -77.9750
KBXA,30.8137 -89.8650
KMRN,35.8192 -81.6097
KMRJ,42.8875 -90.2315
KMRH,34.7326 -76.6566
KMRT,40.2247 -83.3516
KP08,32.9359 -111.4265
KMRY,36.5905 -121.8487
KSRB,36.0528 -85.5359
KSRC,35.2135 -91.7393
KSRE,35.2747 -96.6752
K48I,38.6869 -80.6517
KSRQ,27.4014 -82.5586
KSRR,33.4668 -105.5278
KJBR,35.8317 -90.6464
KVCV,34.5975 -117.3830
KVCT,28.8625 -96.9297
KOZW,42.6294 -83.9842
KBJI,47.5076 -94.9278
K1B7,29.3540 -89.4359
KOZR,31.2767 -85.7110
KBJJ,40.8731 -81.8867
KGAO,29.4447 -90.2611
KBJC,39.9008 -105.1042
KVCB,38.3775 -121.9585
KOZA,30.7350 -101.2030
KFRG,40.7344 -73.4164
KWST,41.3509 -71.8054
K11R,30.2189 -96.3742
KTOP,39.0725 -95.6261
KTOR,42.0613 -104.1584
KTOA,33.8034 -118.3396
KTOB,44.0203 -92.8295
KTOC,34.5940 -83.2960
KTOL,41.5870 -83.8054
KTOI,31.8606 -86.0122
KTAZ,39.5351 -89.3294
KMLT,45.6478 -68.6925
KMLU,32.5156 -92.0299
KMLP,47.4542 -115.6697
K06D,48.8844 -99.6208
KTAN,41.8756 -71.0211
KMLS,46.4267 -105.8825
KMLI,41.4482 -90.5236
KMLJ,33.1542 -83.2406
KMLD,42.1666 -112.2966
KMLE,41.1960 -96.1123
KTAD,37.2622 -104.3318
KMLB,28.0997 -80.6356
KMLC,34.8822 -95.7831
KGOP,31.4213 -97.7970
KGOV,44.6803 -84.7289
KWEY,44.6500 -111.1000
KIOW,41.6394 -91.5445
KGOK,35.8517 -97.4142
KGOO,39.2240 -121.0030
KGON,41.3279 -72.0489
KRQO,35.4728 -98.0058
KRQE,35.6575 -109.0614
KRQB,43.7224 -85.4977
KEKQ,36.8553 -84.8561
KGSB,35.3446 -77.9458
KGSO,36.0969 -79.9432
KGSH,41.5263 -85.7862
KEKA,40.8034 -124.1128
KSMX,34.8941 -120.4521
KD95,43.0665 -83.2716
KNYL,32.6566 -114.6060
KGSP,34.8839 -82.2208
KNYC,40.7790 -73.9692
KEKM,41.7222 -86.0001
KAKO,40.1743 -103.2146
KEKO,40.8240 -115.7863
KNYG,38.5033 -77.3013
KROG,36.3724 -94.1070
KPOU,41.6257 -73.8816
KPOV,41.2090 -81.2479
KROA,37.3169 -79.9742
KEYW,24.5571 -81.7554
KROW,33.3074 -104.5082
KPOB,35.1753 -79.0077
KPOC,34.0928 -117.7794
KPOE,31.0448 -93.1916
KPOF,36.7739 -90.3249
KCAD,44.2785 -85.4207
KEYE,39.8250 -86.2958
KWAL,37.9372 -75.4662
KHGR,39.7062 -77.7304
KERY,46.3111 -85.4572
KF70,33.5742 -117.1285
KPSF,42.4269 -73.2890
KFYV,36.0103 -94.1678
KPSC,46.2696 -119.1181
KPSM,43.0779 -70.8233
KPSN,31.7784 -95.7047
KPSO,37.2863 -107.0560
KNKX,32.8645 -117.1366
KPSK,37.1373 -80.6785
KPSP,33.8222 -116.5043
KNKA,39.1167 -94.6000
KPSX,28.7248 -96.2535
KFSW,40.6615 -91.3267
KFST,30.9119 -102.9167
KJSV,35.4381 -94.8028
KJST,40.3149 -78.8307
KAEL,43.6822 -93.3722
KSET,38.9297 -90.4300
KFHU,31.5883 -110.3442
KAEG,35.1450 -106.7950
KSEP,32.2153 -98.1777
KLKR,34.7229 -80.8546
KAEX,31.3347 -92.5586
KLKU,38.0097 -77.9700
KLKV,42.1566 -120.3972
KSEE,32.8274 -116.9737
KFSO,44.9412 -73.0997
KSEG,40.8193 -76.8658
KFSM,35.3335 -94.3652
KSEA,47.4447 -122.3144
KJSO,31.8693 -95.2174
KFSI,34.6449 -98.4033
KCKC,47.8366 -90.3864
KADH,34.8043 -96.6712
KHUL,46.1185 -67.7928
KUDG,34.4494 -79.8901
KASX,46.5468 -90.9184
KHUF,39.4429 -87.3221
KAST,46.1569 -123.8825
KFAR,46.9112 -96.8147
KFAT,36.7800 -119.7194
KCKN,47.8404 -96.6201
KCKM,34.2997 -90.5123
KHUA,34.6787 -86.6848
KASL,32.5205 -94.3078
KCKP,42.7317 -95.5558
KFAM,37.7626 -90.4293
KASJ,36.2975 -77.1708
KASE,39.2299 -106.8705
KASD,30.3433 -89.8222
KASG,36.1802 -94.1175
KUGN,42.4255 -87.8634
KFAF,37.1325 -76.6088
KDUJ,41.1795 -78.8933
KDUH,41.7358 -83.6553
KXVW,34.7275 -120.5783
KDUB,43.5484 -109.6903
KDUC,34.4778 -97.9616
KDUA,33.9422 -96.3944
KDUG,31.4584 -109.6068
KDUX,35.8580 -102.0130
KAPG,39.4662 -76.1688
KXVG,46.9900 -94.2039
KSSI,31.1522 -81.3908
KADC,46.4502 -95.2135
KSSC,33.9727 -80.4706
KW99,38.9949 -79.1459
KSSF,29.3389 -98.4717
KJEF,38.5912 -92.1561
KJER,42.7274 -114.4547
KADG,41.8678 -84.0794
KAPN,45.0717 -83.5644
KBMI,40.4774 -88.9143
KBML,44.5754 -71.1759
KVBT,36.3444 -94.2211
KONO,44.0142 -117.0081
KBMG,39.1432 -86.6168
KJPD,44.1466 -107.1744
KFAY,34.9896 -78.8801
KSDF,38.1744 -85.7360
KBMT,30.0710 -94.2160
KDCA,38.8472 -77.0345
KVPS,30.4833 -86.5254
KDCM,34.7893 -81.1958
KDCU,34.6525 -86.9453
